3.080000000000000071e+00,5.000000000000000000e-01
2.799999999999999822e+00,6.999999999999999556e-01
2.799999999999999822e+00,1.500000000000000000e+00
2.450000000000000178e+00,1.629999999999999893e+00
2.220000000000000195e+00,1.629999999999999893e+00
2.140000000000000124e+00,1.419999999999999929e+00
1.399999999999999911e+00,8.599999999999999867e-01
1.229999999999999982e+00,2.700000000000000178e-01
1.229999999999999982e+00,-2.700000000000000178e-01
1.399999999999999911e+00,-8.599999999999999867e-01
2.140000000000000124e+00,-1.419999999999999929e+00
2.220000000000000195e+00,-1.629999999999999893e+00
2.450000000000000178e+00,-1.629999999999999893e+00
2.799999999999999822e+00,-1.500000000000000000e+00
2.799999999999999822e+00,-6.999999999999999556e-01
3.080000000000000071e+00,-5.000000000000000000e-01
